Token{category=KEYWORD, type=MAIN, value='main', code=10}
Token{category=SEPARATOR, type=OPEN_PARENTHESIS, value='(', code=92}
Token{category=SEPARATOR, type=CLOSE_PARENTHESIS, value=')', code=93}
Token{category=SEPARATOR, type=OPEN_BRACE, value='{', code=90}
Token{category=KEYWORD, type=INT, value='int', code=11}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=ASSIGNMENT_OPERATOR, type=ASSIGNMENT, value='=', code=70}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='2', code=1}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=KEYWORD, type=INT, value='int', code=11}
Token{category=IDENTIFIER, type=IDENTIFIER, value='b', code=0}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=KEYWORD, type=COUT, value='cout', code=14}
Token{category=IO_OPERATOR, type=INPUT_OPERATOR, value='<<', code=81}
Token{category=CONSTANT, type=STRING_CONSTANT, value='b= ', code=1}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=KEYWORD, type=CIN, value='cin', code=13}
Token{category=IO_OPERATOR, type=OUTPUT_OPERATOR, value='>>', code=82}
Token{category=IDENTIFIER, type=IDENTIFIER, value='b', code=0}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=KEYWORD, type=IF, value='if', code=15}
Token{category=SEPARATOR, type=OPEN_PARENTHESIS, value='(', code=92}
Token{category=IDENTIFIER, type=IDENTIFIER, value='b', code=0}
Token{category=COMPARISON_OPERATOR, type=LESS_THAN, value='<', code=53}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='0', code=1}
Token{category=SEPARATOR, type=CLOSE_PARENTHESIS, value=')', code=93}
Token{category=SEPARATOR, type=OPEN_BRACE, value='{', code=90}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=ASSIGNMENT_OPERATOR, type=ASSIGNMENT, value='=', code=70}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=ARITHMETIC_OPERATOR, type=MULTIPLY, value='*', code=42}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='2', code=1}
Token{category=ARITHMETIC_OPERATOR, type=PLUS, value='+', code=40}
Token{category=SEPARATOR, type=OPEN_PARENTHESIS, value='(', code=92}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='3', code=1}
Token{category=ARITHMETIC_OPERATOR, type=PLUS, value='+', code=40}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='5', code=1}
Token{category=SEPARATOR, type=CLOSE_PARENTHESIS, value=')', code=93}
Token{category=ARITHMETIC_OPERATOR, type=MULTIPLY, value='*', code=42}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='2', code=1}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=SEPARATOR, type=CLOSE_BRACE, value='}', code=91}
Token{category=KEYWORD, type=ELSE, value='else', code=16}
Token{category=SEPARATOR, type=OPEN_BRACE, value='{', code=90}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=ASSIGNMENT_OPERATOR, type=ASSIGNMENT, value='=', code=70}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=ARITHMETIC_OPERATOR, type=PLUS, value='+', code=40}
Token{category=CONSTANT, type=INTEGER_CONSTANT, value='3', code=1}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=SEPARATOR, type=CLOSE_BRACE, value='}', code=91}
Token{category=KEYWORD, type=COUT, value='cout', code=14}
Token{category=IO_OPERATOR, type=INPUT_OPERATOR, value='<<', code=81}
Token{category=IDENTIFIER, type=IDENTIFIER, value='a', code=0}
Token{category=SEPARATOR, type=SEMICOLON, value=';', code=94}
Token{category=SEPARATOR, type=CLOSE_BRACE, value='}', code=91}
